IP 地址,端口,运营商,延迟(ms),丢包率(%)
104.18.18.13,443,移动,97.9,0.1
104.16.9.193,443,移动,98.2,0.3
104.18.18.22,443,移动,98.2,0.1
104.18.18.103,443,移动,98.4,0.1
104.19.19.63,443,移动,98.8,0.1
104.18.19.111,443,移动,99.0,0.1
104.16.7.23,443,移动,99.6,0.3
104.18.13.112,443,移动,99.7,0.1
104.16.10.11,443,移动,100.0,0.3
104.16.4.45,443,移动,100.7,0.3
104.16.6.249,443,移动,101.2,0.3
104.16.3.71,443,移动,101.9,0.3
104.18.18.252,443,移动,102.0,0.1
104.16.6.243,443,移动,103.5,0.4
104.16.9.147,443,移动,103.5,0.3
104.16.2.183,443,移动,103.7,0.3
104.16.7.29,443,移动,103.8,0.3
104.16.3.43,443,移动,104.1,0.3
104.16.4.35,443,移动,104.4,0.3
104.21.43.245,443,多线,104.5,0.2
104.19.19.62,443,移动,104.8,0.1
104.18.5.27,443,移动,105.0,0.1
104.18.1.35,443,移动,105.1,0.1
104.16.3.153,443,移动,105.8,0.3
104.17.198.109,443,多线,105.9,0.2
104.18.13.199,443,移动,106.0,0.1
104.16.9.243,443,移动,106.1,0.3
104.16.9.223,443,移动,106.8,0.3
104.21.13.11,443,多线,107.0,0.1
104.21.1.103,443,多线,107.0,0.1
104.18.52.57,443,移动,107.1,0.0
104.21.9.117,443,多线,107.5,0.1
104.16.6.251,443,移动,107.7,0.3
104.18.53.11,443,移动,107.8,0.2
104.19.166.228,443,移动,107.8,0.1
104.17.177.185,443,多线,108.0,0.2
104.18.15.45,443,移动,108.5,0.1
104.18.52.64,443,移动,108.6,0.0
104.18.2.216,443,移动,108.7,0.0
104.16.4.39,443,移动,108.8,0.3
104.21.109.61,443,多线,109.2,0.1
104.16.10.51,443,移动,110.0,0.3
104.21.1.239,443,多线,110.4,0.2
104.21.109.89,443,多线,110.6,0.2
104.21.9.165,443,多线,111.8,0.2
104.19.20.237,443,移动,112.0,0.1
104.18.52.104,443,移动,113.7,0.0
104.18.12.217,443,移动,114.3,0.1
104.18.52.234,443,移动,114.3,0.0
104.16.8.133,443,移动,115.2,0.3
104.19.151.158,443,移动,115.8,0.1
104.16.7.185,443,移动,116.6,0.2
104.16.123.45,443,移动,118.9,0.4
104.16.2.249,443,移动,119.2,0.3
104.16.8.193,443,移动,119.6,0.2
104.16.7.9,443,移动,120.4,0.3
104.19.151.207,443,移动,120.4,0.1
104.18.53.4,443,移动,120.5,0.0
104.19.151.170,443,移动,122.1,0.1
104.16.6.253,443,移动,124.2,0.3
104.19.151.169,443,移动,124.5,0.1
104.16.6.219,443,移动,124.9,0.3
104.19.151.152,443,移动,125.2,0.1
104.19.151.202,443,移动,126.8,0.1
104.21.2.193,443,多线,127.0,0.1
104.19.151.161,443,移动,127.4,0.1
104.16.9.31,443,移动,127.8,0.3
104.19.18.203,443,移动,127.8,0.1
104.21.51.171,443,多线,128.5,0.2
104.19.152.14,443,移动,128.8,0.1
104.16.8.167,443,移动,129.1,0.3
104.16.9.203,443,移动,130.3,0.3
104.21.30.63,443,多线,130.4,0.2
104.18.15.15,443,移动,131.9,0.1
104.21.109.115,443,多线,136.4,0.2
104.19.151.194,443,移动,138.5,0.1
104.19.151.171,443,移动,138.8,0.1
104.17.176.243,443,多线,139.3,0.2
104.21.109.71,443,多线,142.8,0.2
104.21.0.161,443,多线,143.1,0.1
104.17.177.183,443,多线,145.2,0.2
104.21.14.221,443,多线,150.6,0.1
104.19.151.189,443,移动,151.5,0.1
104.16.9.11,443,移动,151.6,0.3
104.19.39.60,443,移动,153.7,0.1
104.16.8.31,443,移动,154.4,0.3
104.18.52.237,443,移动,154.6,0.1
104.18.26.141,443,移动,155.4,0.2
104.21.4.21,443,多线,155.8,0.1
104.18.52.121,443,移动,159.6,0.0
104.18.52.101,443,移动,160.2,0.0
104.16.7.155,443,移动,161.5,0.3
104.16.9.183,443,移动,163.0,0.3
104.18.12.58,443,移动,163.7,0.0
104.18.12.44,443,移动,164.5,0.0
104.16.8.93,443,移动,164.8,0.2
104.16.6.245,443,移动,164.9,0.3
104.19.151.176,443,移动,166.6,0.1
104.19.151.204,443,移动,168.2,0.1
104.16.6.223,443,移动,168.5,0.3
104.19.151.188,443,移动,169.9,0.1
104.18.10.189,443,移动,170.2,0.0
104.21.109.183,443,多线,170.7,0.1
104.19.151.180,443,移动,171.4,0.1
104.16.5.29,443,移动,171.8,0.2
104.21.17.231,443,多线,172.4,0.2
104.19.151.148,443,移动,173.9,0.1
104.19.56.29,443,移动,174.5,0.1
104.16.9.151,443,移动,175.2,0.2
104.16.3.63,443,移动,176.6,0.2
104.17.22.89,443,多线,176.6,0.2
104.16.0.253,443,移动,177.7,0.3
104.19.151.174,443,移动,178.4,0.1
104.21.109.77,443,多线,178.7,0.1
104.21.112.141,443,多线,179.1,0.1
104.19.151.208,443,移动,181.0,0.1
104.21.17.23,443,多线,181.7,0.1
104.16.123.47,443,移动,182.7,0.3
104.21.14.51,443,多线,184.3,0.2
104.21.11.83,443,多线,185.5,0.1
104.19.151.154,443,移动,186.5,0.1
104.16.5.31,443,移动,187.2,0.3
104.16.7.245,443,移动,187.9,0.3
104.21.111.71,443,多线,189.0,0.1
104.21.109.149,443,多线,190.4,0.1
104.21.26.125,443,多线,190.6,0.2
104.21.199.157,443,多线,190.8,0.1
104.21.12.95,443,多线,191.8,0.2
104.21.109.127,443,多线,192.0,0.1
104.19.151.146,443,移动,193.8,0.1
104.19.151.144,443,移动,196.6,0.1
104.19.151.213,443,移动,199.0,0.1
104.21.28.163,443,多线,199.5,0.2
104.16.8.159,443,移动,203.3,0.3
104.16.2.217,443,移动,210.5,0.2
104.16.2.165,443,移动,214.8,0.3
104.21.24.55,443,多线,225.8,0.1
104.16.9.163,443,移动,226.7,0.5
104.16.9.171,443,移动,228.3,0.3
104.21.23.43,443,多线,229.4,0.1
104.21.5.209,443,多线,231.2,0.1
104.16.4.43,443,移动,232.1,0.3
104.21.27.251,443,多线,234.0,0.1
104.21.20.131,443,多线,235.7,0.1
104.18.53.151,443,移动,237.1,0.4
104.21.1.219,443,多线,237.8,0.1
104.18.13.212,443,移动,238.9,0.0
104.18.15.71,443,移动,239.2,0.0
104.18.16.153,443,移动,242.2,0.0
104.18.18.45,443,移动,251.2,0.4
104.17.176.231,443,多线,252.5,0.2
104.17.176.227,443,多线,262.8,0.2
104.18.15.58,443,移动,269.8,0.4
104.18.52.90,443,移动,274.1,0.3
104.21.19.41,443,多线,274.9,0.5
104.18.11.159,443,移动,277.9,0.4
104.17.177.187,443,多线,299.2,0.6
104.17.176.239,443,多线,307.1,0.2
104.18.29.120,443,移动,310.4,0.3
104.19.82.168,443,移动,314.1,0.5
104.21.14.211,443,多线,315.4,0.2
104.18.12.1,443,移动,320.2,0.3
104.18.52.250,443,移动,325.3,0.4
104.19.151.197,443,移动,343.1,0.4
104.17.177.131,443,多线,357.2,0.1
104.29.111.61,443,多线,385.0,0.3
104.29.111.252,443,多线,385.1,0.3
104.29.126.98,443,多线,395.4,0.3
104.29.111.145,443,多线,395.6,0.3
104.29.126.19,443,多线,408.2,0.3
104.29.111.242,443,多线,411.2,0.3
104.29.127.67,443,多线,411.9,0.2
104.29.126.148,443,多线,413.2,0.3
104.29.127.124,443,多线,419.3,0.3
104.29.111.54,443,多线,421.0,0.3
104.16.9.181,443,移动,421.6,0.3
104.29.126.202,443,多线,422.1,0.3
104.29.111.254,443,多线,424.0,0.3
104.29.126.107,443,多线,424.2,0.3
104.29.127.29,443,多线,429.4,0.3
104.21.109.161,443,多线,431.8,0.4
104.29.126.235,443,多线,432.7,0.3
104.16.6.247,443,移动,434.3,0.7
104.29.111.68,443,多线,434.3,0.3
104.29.127.77,443,多线,435.4,0.3
104.29.127.17,443,多线,436.1,0.3
104.29.126.21,443,多线,436.8,0.3
104.29.126.157,443,多线,437.1,0.3
104.29.111.80,443,多线,439.0,0.3
104.29.126.15,443,多线,439.4,0.3
104.29.111.234,443,多线,440.0,0.3
104.29.126.79,443,多线,440.5,0.3
104.29.111.66,443,多线,440.8,0.3
104.29.127.34,443,多线,443.9,0.3
104.29.126.142,443,多线,444.3,0.3
104.29.127.5,443,多线,444.8,0.2
104.29.111.245,443,多线,445.0,0.3
104.29.111.178,443,多线,445.5,0.3
104.29.127.193,443,多线,445.5,0.3
104.29.127.32,443,多线,446.8,0.2
104.16.6.193,443,移动,448.8,0.6
104.29.111.20,443,多线,449.0,0.3
104.29.127.231,443,多线,453.1,0.3
104.19.60.147,443,移动,455.5,0.6
104.29.126.164,443,多线,461.3,0.3
104.29.111.251,443,多线,462.3,0.3
104.21.112.101,443,多线,462.4,0.5
104.29.111.23,443,多线,462.4,0.3
104.29.111.162,443,多线,463.3,0.3
104.29.126.7,443,多线,465.0,0.3
104.29.127.35,443,多线,467.4,0.3
104.29.111.147,443,多线,468.1,0.3
104.29.127.16,443,多线,469.5,0.3
104.29.125.245,443,多线,471.4,0.3
104.29.127.3,443,多线,472.2,0.3
104.29.111.14,443,多线,479.8,0.3
104.29.127.182,443,多线,481.4,0.3
104.29.111.51,443,多线,482.9,0.3
104.29.127.114,443,多线,484.5,0.3
104.29.127.64,443,多线,492.5,0.3
104.21.10.15,443,多线,492.7,0.5
104.29.111.237,443,多线,493.4,0.3
104.29.125.30,443,多线,497.2,0.3
104.29.125.178,443,多线,497.3,0.3
104.29.125.64,443,多线,498.3,0.3
104.29.125.180,443,多线,518.2,0.3
104.29.111.195,443,多线,520.3,0.3
104.29.127.37,443,多线,524.1,0.3
104.29.111.47,443,多线,529.4,0.2
104.29.125.95,443,多线,532.6,0.2
104.16.6.197,443,移动,537.7,0.6
104.17.177.191,443,多线,539.6,0.5
104.29.125.204,443,多线,543.5,0.3
104.29.126.18,443,多线,553.0,0.3
104.29.111.18,443,多线,564.8,0.2
104.16.10.59,443,移动,565.7,0.6
104.29.127.19,443,多线,566.4,0.3
104.29.125.224,443,多线,568.2,0.3
104.29.125.107,443,多线,571.8,0.3
104.29.125.241,443,多线,579.5,0.3
104.19.39.59,443,移动,581.9,0.4
104.29.127.45,443,多线,606.6,0.2
104.29.125.190,443,多线,611.0,0.2
