IP 地址,端口,运营商,延迟(ms),丢包率(%)
104.27.32.186,443,多线,29.7,0.0
104.27.36.102,443,多线,29.8,0.0
104.27.39.9,443,多线,29.8,0.0
104.27.29.44,443,多线,29.9,0.0
104.27.101.72,443,多线,29.9,0.0
104.27.37.51,443,多线,29.9,0.0
104.27.61.102,443,多线,30.0,0.0
104.27.92.241,443,多线,30.0,0.0
104.27.117.26,443,多线,30.0,0.0
104.27.61.52,443,多线,30.0,0.0
141.101.115.178,443,多线,30.0,0.1
104.27.121.67,443,多线,30.1,0.0
104.27.87.31,443,多线,30.1,0.0
104.27.120.33,443,多线,30.1,0.0
104.27.66.232,443,多线,30.1,0.0
104.27.30.198,443,多线,30.2,0.0
104.27.68.105,443,多线,30.2,0.0
104.27.90.63,443,多线,30.2,0.0
104.27.66.77,443,多线,30.3,0.0
104.27.94.189,443,多线,30.3,0.0
104.27.30.213,443,多线,30.3,0.0
141.101.114.134,443,多线,30.3,0.1
104.27.63.65,443,多线,30.5,0.0
104.27.65.178,443,多线,30.5,0.0
104.27.126.82,443,多线,30.6,0.0
104.27.54.204,443,多线,30.6,0.0
104.27.61.42,443,多线,30.6,0.0
104.16.27.109,443,移动,30.6,0.1
104.27.57.136,443,多线,30.7,0.0
104.27.61.137,443,多线,30.7,0.0
141.101.114.15,443,多线,30.7,0.1
141.101.115.113,443,多线,30.8,0.1
104.27.67.116,443,多线,30.8,0.0
104.27.91.42,443,多线,30.8,0.0
104.27.67.51,443,多线,30.8,0.0
141.101.113.232,443,多线,30.9,0.1
104.27.10.188,443,多线,30.9,0.0
104.27.119.59,443,多线,30.9,0.0
104.27.83.40,443,多线,30.9,0.0
104.27.36.237,443,多线,31.0,0.0
104.27.57.161,443,多线,31.0,0.0
104.27.86.107,443,多线,31.0,0.0
104.27.56.127,443,多线,31.1,0.0
104.27.23.130,443,多线,31.1,0.0
104.27.107.176,443,多线,31.1,0.0
104.27.53.95,443,多线,31.1,0.0
104.27.125.118,443,多线,31.1,0.0
104.27.38.30,443,多线,31.2,0.0
104.27.57.106,443,多线,31.2,0.0
104.27.108.110,443,多线,31.2,0.0
104.27.33.155,443,多线,31.3,0.0
104.27.111.52,443,多线,31.4,0.0
104.27.52.191,443,多线,31.4,0.0
141.101.114.22,443,多线,31.4,0.1
104.27.12.31,443,多线,31.5,0.0
